title,company,location,how old,link
Desenvolvedor Machine Learning JR - (Campinas e Recife),SiDi,"Recife, PE",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=a05c2a8f6095c201&fccid=d944f1c7c41daa58&vjs=3
Sr Analyst-Solutions Consulting,AT&T,Brasil,há 4 dias,https://br.indeed.com/rc/clk?jk=7148db033a6b1cdb&fccid=25b5166547bbf543&vjs=3
ESTAGIARIO,SPC Brasil,"São Paulo, SP",há 12 dias,https://br.indeed.com/rc/clk?jk=c9d101a0e6a15702&fccid=d829f1c4affe200a&vjs=3
ANALISTA PROJETOS JR,Platos,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=1913913fce2d279c&fccid=d04f061ed9cb18fe&vjs=3
Quality Assurance Developer,Ewave do Brasil,"Blumenau, SC",há 9 dias,https://br.indeed.com/rc/clk?jk=12f39299b35dbd32&fccid=3e70db4eb9a109af&vjs=3
Estagiário,OEmprego,"Colombo, PR",há 1 dia,https://br.indeed.com/rc/clk?jk=3d8dfa9fc2071e46&fccid=919b31f0a22ef58e&vjs=3
"Support Analyst, Tier I",DocuSign,"São Paulo, SP",há 11 dias,https://br.indeed.com/rc/clk?jk=bd79c20bb144a78d&fccid=9dd30dd046d9ac7a&vjs=3
Engenheiro(a) de Dados Python pleno (remoto),GeekHunter,Brasil,Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=932c106837c196e4&fccid=9ba8dec3013c0c90&vjs=3
Analista Pleno de Projetos - Analyst Pool (CSC Jaguariúna),Ambev,"Jaguariúna, SP",há 12 dias,https://br.indeed.com/rc/clk?jk=cf6d4d6e6f514879&fccid=0d85abf49301dae0&vjs=3
Analista Cientista de Dados Jr.,PagSeguro PagBank,"São Paulo, SP",há 2 dias,https://br.indeed.com/rc/clk?jk=3823354519520812&fccid=44e1ff5923cfbeec&vjs=3
Estagiário de Desenvolvimento de Software,eMotion Studios,"Belo Horizonte, MG",há 4 dias,https://br.indeed.com/rc/clk?jk=8f9cbbc9e4b9415d&fccid=7209a541b4ad9d05&vjs=3
Desenvolvedor Python Sr,Elumini Outdoing IT,"Rio de Janeiro, RJ",há 18 dias,https://br.indeed.com/rc/clk?jk=0743893590f2806e&fccid=2ad0b14f91320c64&vjs=3
CIENTISTA DE DADOS,Eldorado,"Manaus, AM",há 5 dias,https://br.indeed.com/rc/clk?jk=9dab4b2780bf70c7&fccid=70cf64a0b596b733&vjs=3
Consultor Red Hat OpenShift,PapaGigas,Exterior,há 2 dias,https://br.indeed.com/rc/clk?jk=c3f7e04d0c1f17a1&fccid=9d7f7ae1fef60b84&vjs=3
Pessoa Engenheira de Dados III,Involves,Remoto,Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=1b79b7be1f1a2d10&fccid=6ed0979ab9cc882a&vjs=3
Quality Assurance Manager (QA),Ewave do Brasil,"Blumenau, SC",há 9 dias,https://br.indeed.com/rc/clk?jk=84ff6154844a17bb&fccid=3e70db4eb9a109af&vjs=3
Estágio em Multimercado,Guide Investimentos,"São Paulo, SP",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=6c9d88066f7a4ae6&fccid=da82666953054f64&vjs=3
Desenvolvedor Python Sênior,Ewave do Brasil,"Florianópolis, SC",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=b48c3a5f3fa9b0fa&fccid=3e70db4eb9a109af&vjs=3
Desenvolvedor Python - Vaga Presencial - Junior /Pleno,Synoro Negócios Inovadores,"Rio de Janeiro, RJ",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=9a64951825fd422d&fccid=939813f7b2dce14a&vjs=3
ESTÁGIO EM PROJETOS ELÉTRICOS E MECÂNICOS (13266),Bosch Group,"Pomerode, SC",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=33f448bdeb79d4c5&fccid=a2faf1301ac6ad4b&vjs=3
Estágio de Desenvolvimento de Software Embarcado,OEmprego,"Colombo, PR",há 1 dia,https://br.indeed.com/rc/clk?jk=66bc03bf912ef429&fccid=919b31f0a22ef58e&vjs=3
Desenvolvedor Backend Python Pleno,STORMGROUP,"Barra da Tijuca, RJ",Há mais de 30 dias,https://br.indeed.com/rc/clk?jk=ee26913d52ce1135&fccid=2404d9972c04d23e&vjs=3
